column,title,description,unit,source
fossil_share_elec,Share of electricity generated by fossil fuels,"Electricity generation from coal, oil, and gas, measured as a percentage of total electricity produced in the country or region.",%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_share_energy,Share of primary energy consumption that comes from fossil fuels,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
gas_consumption,Primary energy consumption from gas,Measured in terawatt-hours.,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
gas_electricity,Electricity generation from gas,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
gas_share_elec,Share of electricity generated by gas,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
gas_share_energy,Share of primary energy consumption that comes from gas,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
greenhouse_gas_emissions,Lifecycle emissions from electricity generation,Measured in megatonnes of CO₂ equivalents.,million tonnes CO₂ equivalents (Mt),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]
hydro_consumption,Primary energy consumption from hydropower,"Measured in terawatt-hours, using the substitution method.",terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
hydro_electricity,Electricity generation from hydropower,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
hydro_share_elec,Share of electricity generated by hydropower,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
hydro_share_energy,Share of primary energy consumption that comes from hydropower,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
low_carbon_consumption,Primary energy consumption from low-carbon sources,"Measured in terawatt-hours, using the substitution method.",terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
low_carbon_electricity,Electricity generation from low-carbon sources,"Measured in terawatt-hours. Low-carbon sources correspond to renewables and nuclear power, that produce significantly less greenhouse-gas emissions than fossil fuels. Renewables include solar, wind, hydropower, bioenergy, geothermal, wave, and tidal.",terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
low_carbon_share_elec,Share of electricity generated by low-carbon sources,"Measured as a percentage of total electricity produced in the country or region. Low-carbon sources correspond to renewables and nuclear power, that produce significantly less greenhouse-gas emissions than fossil fuels. Renewables include solar, wind, hydropower, bioenergy, geothermal, wave, and tidal.",%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
low_carbon_share_energy,Share of primary energy consumption that comes from low-carbon sources,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
nuclear_consumption,Primary energy consumption from nuclear power,"Measured in terawatt-hours, using the substitution method.",terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
nuclear_electricity,Electricity generation from nuclear,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
nuclear_share_elec,Share of electricity generated by nuclear power,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
nuclear_share_energy,Share of primary energy consumption that comes from nuclear power,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
oil_consumption,Primary energy consumption from oil,Measured in terawatt-hours.,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
oil_electricity,Electricity generation from oil,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
oil_share_elec,Share of electricity generated by oil,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
oil_share_energy,Share of primary energy consumption that comes from oil,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
per_capita_electricity,Total electricity generation per person,Measured in kilowatt-hours per person.,kilowatt-hours (kWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2024) [https://ourworldindata.org/population-sources]
primary_energy_consumption,Primary energy consumption,Measured in terawatt-hours.,terawatt-hours (TWh),U.S. Energy Information Administration - International Energy Data (2025) [https://www.eia.gov/opendata/bulkfiles.php]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
renewables_consumption,Primary energy consumption from renewables,"Measured in terawatt-hours, using the substitution method.",terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
renewables_electricity,Electricity generation from renewables,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
renewables_share_elec,Share of electricity generated by renewables,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
renewables_share_energy,Share of primary energy consumption that comes from renewables,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
solar_consumption,Primary energy consumption from solar power,"Measured in terawatt-hours, using the substitution method.",terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
solar_electricity,Electricity generation from solar power,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
solar_share_elec,Share of electricity generated by solar power,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
solar_share_energy,Share of primary energy consumption that comes from solar power,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
wind_consumption,Primary energy consumption from wind power,"Measured in terawatt-hours, using the substitution method.",terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
wind_electricity,Electricity generation from wind power,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
wind_share_elec,Share of electricity generated by wind power,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
wind_share_energy,Share of primary energy consumption that comes from wind power,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
